flame_vert_id  off_vert_id  dist
    590      888820   0.020851
    591      903816   0.018536
    592      872151   0.018353
    593      898842   0.085252
    594      898842   0.084069
    595      815702   0.084445
    596      817459   0.083828
    597      817459   0.080951
    598      815702   0.081329
    599      844024   0.090167
    600      844024   0.088378
    601      844024   0.089913
    602      844024   0.090516
    603      467954   0.061503
    604      470978   0.061117
    605      854896   0.013885
    606      817459   0.089359
    607      817459   0.093275
    608      817459   0.094473
    609      817459   0.091592
    610      817459   0.097900
    611      817459   0.098721
    612      854650   0.069984
    613      854650   0.068322
    614      854650   0.069141
    615      854650   0.070398
    616      844024   0.080337
    617      842248   0.078715
    618      854650   0.089633
    619      854650   0.088820
    620      851103   0.091588
    621      851103   0.092089
    622      840720   0.015675
    623      853137   0.016157
    624      863669   0.015154
    625      635298   0.013760
    626      612849   0.015592
    627      612867   0.014938
    628      641600   0.012353
    629      861949   0.015670
    630      868775   0.015794
    631      487872   0.027905
    632      480160   0.027949
    633      428964   0.109874
    634      854650   0.086408
    635      851103   0.089954
    636      851103   0.091725
    637      851103   0.089939
    638      347404   0.101655
    639      347404   0.102869
    640      817459   0.089542
    641      817459   0.084900
    642      817459   0.085789
    643      817459   0.090898
    644      347404   0.115049
    645      782517   0.120545
    646      786011   0.105560
    647      779012   0.103699
    648      780768   0.119370
    649     1229672   0.063840
    650     1234673   0.064762
    651      817459   0.090172
    652      817459   0.088196
    653      817459   0.088084
    654      817459   0.089676
    655      817459   0.096552
    656      817459   0.097446
    657      817459   0.095908
    658      815702   0.076139
    659      815702   0.076891
    660      817459   0.077415
    661      817459   0.076005
    662      854650   0.082651
    663      854650   0.083654
    664      854650   0.084270
    665      854650   0.086334
    666      854650   0.086270
    667      665499   0.020355
    668      640088   0.023602
    669      675238   0.025278
    670      687005   0.021997
    671      716060   0.011382
    672      705699   0.009721
    673      735125   0.008643
    674      736850   0.009246
    675      854650   0.073355
    676      854650   0.072746
    677      854650   0.074615
    678      854650   0.075175
    679      789481   0.027802
    680      807211   0.030127
    681      849675   0.027429
    682      828351   0.025806
    683      856754   0.021993
    684      815702   0.077626
    685      817459   0.080522
    686      817459   0.079249
    687      815702   0.077106
